,Date,Price,Open,High,Low,Change %
125,2010-07-08,1.2694,1.2633,1.2712,1.262,0.47%
126,2010-07-07,1.2635,1.2628,1.2666,1.2553,0.09%
127,2010-07-06,1.2624,1.2538,1.2664,1.2479,0.67%
128,2010-07-05,1.254,1.2557,1.2565,1.2508,-0.18%
129,2010-07-02,1.2563,1.2517,1.2616,1.2483,0.35%
130,2010-07-01,1.2519,1.2235,1.254,1.2193,2.31%
131,2010-06-30,1.2236,1.2185,1.2306,1.2166,0.44%
132,2010-06-29,1.2182,1.2277,1.2293,1.2152,-0.79%
133,2010-06-28,1.2279,1.2372,1.2399,1.2264,-0.79%
134,2010-06-25,1.2377,1.233,1.2398,1.2253,0.35%
135,2010-06-24,1.2334,1.2317,1.2388,1.226,0.15%
136,2010-06-23,1.2315,1.2264,1.2346,1.2209,0.38%
137,2010-06-22,1.2268,1.2322,1.2355,1.225,-0.32%
138,2010-06-21,1.2308,1.2439,1.2469,1.2303,-0.64%
139,2010-06-18,1.2387,1.2384,1.2419,1.2354,0.06%
140,2010-06-17,1.238,1.2299,1.2414,1.2243,0.58%
141,2010-06-16,1.2308,1.2322,1.2357,1.2256,-0.13%
142,2010-06-15,1.2324,1.2213,1.235,1.2164,0.87%
143,2010-06-14,1.2218,1.2125,1.23,1.2115,0.87%
144,2010-06-11,1.2113,1.2109,1.2155,1.2046,0.03%
145,2010-06-10,1.2109,1.1981,1.2143,1.1955,1.03%
146,2010-06-09,1.1986,1.197,1.2076,1.1923,0.09%
147,2010-06-08,1.1975,1.1919,1.2011,1.1901,0.50%
148,2010-06-07,1.1915,1.1946,1.1992,1.1876,-0.51%
149,2010-06-04,1.1976,1.2165,1.2218,1.1956,-1.49%
150,2010-06-03,1.2157,1.2247,1.2327,1.2151,-0.77%
151,2010-06-02,1.2251,1.2207,1.2277,1.2174,0.20%
152,2010-06-01,1.2227,1.2305,1.2355,1.2111,-0.64%
153,2010-05-31,1.2306,1.2273,1.2334,1.2264,0.29%
154,2010-05-28,1.227,1.2363,1.2455,1.2266,-0.80%
155,2010-05-27,1.2369,1.2157,1.2395,1.2153,1.65%
156,2010-05-26,1.2168,1.2373,1.2376,1.2164,-1.59%
157,2010-05-25,1.2365,1.2344,1.2372,1.2172,0.10%
158,2010-05-24,1.2353,1.2546,1.2561,1.2344,-1.75%
159,2010-05-21,1.2573,1.2468,1.2675,1.2461,0.84%
160,2010-05-20,1.2468,1.2429,1.2601,1.2298,0.31%
161,2010-05-19,1.2429,1.2183,1.2434,1.2144,2.02%
162,2010-05-18,1.2183,1.2395,1.2447,1.2163,-1.71%
163,2010-05-17,1.2395,1.2351,1.2416,1.2235,0.26%
164,2010-05-14,1.2363,1.2524,1.2578,1.2355,-1.33%
165,2010-05-13,1.253,1.2631,1.2686,1.2518,-0.73%
166,2010-05-12,1.2622,1.2639,1.274,1.2603,-0.26%
167,2010-05-11,1.2655,1.2791,1.2804,1.2652,-0.99%
168,2010-05-10,1.2782,1.2933,1.3094,1.2758,0.16%
169,2010-05-07,1.2762,1.2633,1.28,1.2588,0.84%
170,2010-05-06,1.2656,1.2824,1.2856,1.2521,-1.23%
171,2010-05-05,1.2814,1.2968,1.2998,1.2789,-1.29%
172,2010-05-04,1.2982,1.3192,1.3215,1.2976,-1.61%
173,2010-05-03,1.3194,1.3342,1.3342,1.3154,-0.78%
174,2010-04-30,1.3298,1.3245,1.3345,1.3226,0.55%
175,2010-04-29,1.3225,1.3204,1.3281,1.3183,0.08%
176,2010-04-28,1.3214,1.3156,1.3271,1.3115,0.37%
177,2010-04-27,1.3165,1.3396,1.3415,1.3159,-1.73%
178,2010-04-26,1.3397,1.3346,1.3398,1.3289,0.08%
179,2010-04-23,1.3386,1.3286,1.3403,1.3202,0.70%
180,2010-04-22,1.3293,1.3385,1.3422,1.3258,-0.70%
181,2010-04-21,1.3387,1.3437,1.3448,1.3357,-0.38%
182,2010-04-20,1.3438,1.349,1.3524,1.3427,-0.35%
183,2010-04-19,1.3485,1.3478,1.3498,1.3413,-0.10%
184,2010-04-16,1.3499,1.358,1.3584,1.3473,-0.60%
185,2010-04-15,1.358,1.3653,1.3668,1.3518,-0.53%
186,2010-04-14,1.3653,1.3617,1.3679,1.3596,0.34%
187,2010-04-13,1.3607,1.3584,1.3627,1.3545,0.15%
188,2010-04-12,1.3586,1.3622,1.3693,1.3563,0.64%
189,2010-04-09,1.3499,1.336,1.3503,1.3341,1.04%
190,2010-04-08,1.336,1.3337,1.3368,1.328,0.15%
191,2010-04-07,1.334,1.3396,1.3409,1.3323,-0.44%
192,2010-04-06,1.3399,1.3483,1.3497,1.3354,-0.65%
193,2010-04-05,1.3486,1.3491,1.3541,1.3461,-0.13%
194,2010-04-02,1.3504,1.3584,1.3593,1.3474,-0.57%
195,2010-04-01,1.3582,1.351,1.3592,1.3457,0.52%
196,2010-03-31,1.3512,1.3415,1.355,1.3384,0.74%
197,2010-03-30,1.3413,1.3479,1.354,1.3394,-0.48%
198,2010-03-29,1.3478,1.3488,1.3508,1.3418,0.48%
199,2010-03-26,1.3413,1.328,1.3428,1.3268,1.01%
200,2010-03-25,1.3279,1.3316,1.3386,1.3266,-0.26%
201,2010-03-24,1.3314,1.3495,1.3502,1.3304,-1.38%
202,2010-03-23,1.35,1.3563,1.3571,1.3474,-0.41%
203,2010-03-22,1.3556,1.3525,1.3569,1.3462,0.16%
204,2010-03-19,1.3534,1.3607,1.3629,1.3502,-0.54%
205,2010-03-18,1.3607,1.3732,1.3743,1.3583,-0.95%
206,2010-03-17,1.3738,1.377,1.3818,1.3725,-0.25%
207,2010-03-16,1.3772,1.3677,1.3786,1.3657,0.70%
208,2010-03-15,1.3676,1.3777,1.3779,1.3639,-0.63%
209,2010-03-12,1.3763,1.3678,1.3798,1.3668,0.61%
210,2010-03-11,1.3679,1.3656,1.3689,1.3618,0.14%
211,2010-03-10,1.366,1.36,1.368,1.3543,0.43%
212,2010-03-09,1.3601,1.363,1.3636,1.3535,-0.21%
213,2010-03-08,1.363,1.3632,1.3706,1.3607,0.06%
214,2010-03-05,1.3622,1.3581,1.363,1.3527,0.31%
215,2010-03-04,1.358,1.3695,1.3714,1.355,-0.88%
216,2010-03-03,1.37,1.3616,1.3738,1.3592,0.70%
217,2010-03-02,1.3605,1.3557,1.3623,1.3433,0.32%
218,2010-03-01,1.3561,1.3624,1.3657,1.3458,-0.48%
219,2010-02-26,1.3626,1.3548,1.3685,1.3531,0.52%
220,2010-02-25,1.3556,1.3536,1.3572,1.3451,0.18%
221,2010-02-24,1.3531,1.351,1.3627,1.3501,0.19%
222,2010-02-23,1.3506,1.3592,1.3693,1.3495,-0.68%
223,2010-02-22,1.3598,1.3636,1.3653,1.3571,-0.12%
224,2010-02-19,1.3615,1.3529,1.3619,1.3443,-0.01%
225,2010-02-18,1.3617,1.3606,1.3656,1.3539,0.08%
226,2010-02-17,1.3606,1.3765,1.379,1.3585,-1.18%
227,2010-02-16,1.3769,1.3596,1.3779,1.3588,1.25%
228,2010-02-15,1.3599,1.3614,1.3636,1.3579,-0.14%
229,2010-02-12,1.3618,1.3694,1.3699,1.3532,-0.47%
230,2010-02-11,1.3682,1.3732,1.3802,1.3594,-0.33%
231,2010-02-10,1.3727,1.3792,1.3816,1.3676,-0.46%
232,2010-02-09,1.379,1.3651,1.384,1.3642,1.00%
233,2010-02-08,1.3653,1.3664,1.3714,1.362,-0.08%
234,2010-02-05,1.3664,1.3729,1.3748,1.3586,-0.52%
235,2010-02-04,1.3736,1.389,1.3905,1.3727,-1.17%
236,2010-02-03,1.3899,1.3963,1.4026,1.3889,-0.46%
237,2010-02-02,1.3963,1.3931,1.3977,1.3887,0.24%
238,2010-02-01,1.3929,1.3864,1.3939,1.3851,0.47%
239,2010-01-29,1.3864,1.3973,1.399,1.3861,-0.71%
