Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Portugal;Unemployment Rate;1995-12-31T00:00:00;7.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1996-03-31T00:00:00;7.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1996-06-30T00:00:00;7.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1996-09-30T00:00:00;7.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1996-12-31T00:00:00;7.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1997-03-31T00:00:00;7.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1997-06-30T00:00:00;6.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1997-09-30T00:00:00;6.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1997-12-31T00:00:00;6.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1998-03-31T00:00:00;5.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1998-06-30T00:00:00;4.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1998-09-30T00:00:00;4.6;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1998-12-31T00:00:00;4.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1999-03-31T00:00:00;4.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1999-06-30T00:00:00;4.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1999-09-30T00:00:00;4.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;1999-12-31T00:00:00;4.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2000-03-31T00:00:00;4.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2000-06-30T00:00:00;3.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2000-09-30T00:00:00;3.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2000-12-31T00:00:00;3.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2001-03-31T00:00:00;4.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2001-06-30T00:00:00;3.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2001-09-30T00:00:00;4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2001-12-31T00:00:00;4.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2002-03-31T00:00:00;4.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2002-06-30T00:00:00;4.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2002-09-30T00:00:00;5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2002-12-31T00:00:00;6.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2003-03-31T00:00:00;6.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2003-06-30T00:00:00;6.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2003-09-30T00:00:00;6.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2003-12-31T00:00:00;6.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2004-03-31T00:00:00;6.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2004-06-30T00:00:00;6.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2004-09-30T00:00:00;6.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2004-12-31T00:00:00;7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2005-03-31T00:00:00;7.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2005-06-30T00:00:00;7.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2005-09-30T00:00:00;7.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2005-12-31T00:00:00;8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2006-03-31T00:00:00;7.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2006-06-30T00:00:00;7.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2006-09-30T00:00:00;7.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2006-12-31T00:00:00;8.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2007-03-31T00:00:00;8.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2007-06-30T00:00:00;7.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2007-09-30T00:00:00;7.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2007-12-31T00:00:00;7.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2008-03-31T00:00:00;7.6;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2008-06-30T00:00:00;7.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2008-09-30T00:00:00;7.6;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2008-12-31T00:00:00;7.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2009-03-31T00:00:00;8.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2009-06-30T00:00:00;9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2009-09-30T00:00:00;9.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2009-12-31T00:00:00;10.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2010-03-31T00:00:00;10.6;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2010-06-30T00:00:00;10.6;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2010-09-30T00:00:00;10.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2010-12-31T00:00:00;11.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2011-03-31T00:00:00;12.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2011-06-30T00:00:00;12.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2011-09-30T00:00:00;12.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2011-12-31T00:00:00;13.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2012-03-31T00:00:00;14.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2012-06-30T00:00:00;14.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2012-09-30T00:00:00;15.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2012-12-31T00:00:00;16.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2013-03-31T00:00:00;17.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2013-06-30T00:00:00;16.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2013-09-30T00:00:00;15.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2013-12-31T00:00:00;15.3;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2014-03-31T00:00:00;15.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2014-06-30T00:00:00;13.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2014-09-30T00:00:00;13.1;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2014-12-31T00:00:00;13.5;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2015-03-31T00:00:00;13.7;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2015-06-30T00:00:00;11.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2015-09-30T00:00:00;11.9;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2015-12-31T00:00:00;12.2;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2016-03-31T00:00:00;12.4;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2016-06-30T00:00:00;10.8;Quarterly;PTUE;2016-08-10T11:47:00
Portugal;Unemployment Rate;2016-09-30T00:00:00;10.5;Quarterly;PTUE;2016-11-09T11:00:00
Portugal;Unemployment Rate;2016-12-31T00:00:00;10.5;Quarterly;PTUE;2017-02-08T11:01:00
Portugal;Unemployment Rate;2017-03-31T00:00:00;10.1;Quarterly;PTUE;2017-05-10T10:00:00
Portugal;Unemployment Rate;2017-06-30T00:00:00;8.8;Quarterly;PTUE;2017-08-09T09:59:00
Portugal;Unemployment Rate;2017-09-30T00:00:00;8.5;Quarterly;PTUE;2017-11-08T11:00:00
Portugal;Unemployment Rate;2017-12-31T00:00:00;8.1;Quarterly;PTUE;2018-02-07T11:01:00
Portugal;Unemployment Rate;2018-03-31T00:00:00;7.9;Quarterly;PTUE;2018-08-08T10:00:00
Portugal;Unemployment Rate;2018-06-30T00:00:00;6.7;Quarterly;PTUE;2018-11-07T11:00:00
Portugal;Unemployment Rate;2018-09-30T00:00:00;6.7;Quarterly;PTUE;2019-02-06T11:00:00
Portugal;Unemployment Rate;2018-12-31T00:00:00;6.7;Quarterly;PTUE;2019-05-08T10:01:00
Portugal;Unemployment Rate;2019-03-31T00:00:00;6.8;Quarterly;PTUE;2019-08-07T10:01:00
Portugal;Unemployment Rate;2019-06-30T00:00:00;6.3;Quarterly;PTUE;2019-11-06T11:00:00
Portugal;Unemployment Rate;2019-09-30T00:00:00;6.1;Quarterly;PTUE;2020-02-05T11:00:00
Portugal;Unemployment Rate;2019-12-31T00:00:00;6.7;Quarterly;PTUE;2020-05-06T10:01:00
Portugal;Unemployment Rate;2020-03-31T00:00:00;6.7;Quarterly;PTUE;2020-05-06T10:01:00
