Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Currency,2017-04-28T00:00:00,1.0895,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-04-30T00:00:00,1.091,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-01T00:00:00,1.0898,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-02T00:00:00,1.0927,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-03T00:00:00,1.0882,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-04T00:00:00,1.0984,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-05T00:00:00,1.0995,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-07T00:00:00,1.0981,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-08T00:00:00,1.0922,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-09T00:00:00,1.0872,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-10T00:00:00,1.0867,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-11T00:00:00,1.0862,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-12T00:00:00,1.0929,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-14T00:00:00,1.0926,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-15T00:00:00,1.098,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-16T00:00:00,1.1092,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-17T00:00:00,1.1151,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-18T00:00:00,1.111,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-19T00:00:00,1.1201,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-21T00:00:00,1.1201,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-22T00:00:00,1.1237,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-23T00:00:00,1.1175,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-24T00:00:00,1.1229,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-25T00:00:00,1.121,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-26T00:00:00,1.1182,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-28T00:00:00,1.1176,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-29T00:00:00,1.1127,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-30T00:00:00,1.1173,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-05-31T00:00:00,1.1239,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-01T00:00:00,1.1213,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-02T00:00:00,1.1274,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-04T00:00:00,1.1277,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-05T00:00:00,1.1257,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-06T00:00:00,1.127,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-07T00:00:00,1.1256,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-08T00:00:00,1.1189,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-09T00:00:00,1.1192,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-11T00:00:00,1.1202,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-12T00:00:00,1.1197,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-13T00:00:00,1.1209,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-14T00:00:00,1.1213,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-15T00:00:00,1.1149,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-16T00:00:00,1.1197,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-18T00:00:00,1.1204,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-19T00:00:00,1.1142,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-20T00:00:00,1.1134,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-21T00:00:00,1.1166,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-22T00:00:00,1.115,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-23T00:00:00,1.1192,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-25T00:00:00,1.1197,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-26T00:00:00,1.1179,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-27T00:00:00,1.1337,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-28T00:00:00,1.1376,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-29T00:00:00,1.144,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-06-30T00:00:00,1.1423,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-02T00:00:00,1.1422,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-03T00:00:00,1.136,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-04T00:00:00,1.1342,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-05T00:00:00,1.1352,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-06T00:00:00,1.1422,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-07T00:00:00,1.14,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-09T00:00:00,1.1402,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-10T00:00:00,1.1399,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-11T00:00:00,1.1465,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-12T00:00:00,1.141,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-13T00:00:00,1.1395,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-14T00:00:00,1.1467,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-16T00:00:00,1.1471,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-17T00:00:00,1.1478,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-18T00:00:00,1.1552,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-19T00:00:00,1.1514,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-20T00:00:00,1.1629,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-07-21T00:00:00,1.1661,Daily,EURUSD,2020-05-16T16:21:33.813
